國文,英文,數學,社會,自然
8,14,10,9,7
14,13,10,14,6
11,8,7,9,11
7,15,7,11,9
9,14,13,15,11
7,8,12,8,11
8,15,7,7,8
13,13,8,6,8
7,6,10,9,11
9,7,15,10,14
10,14,8,12,15
13,8,9,8,14
12,15,12,8,6
15,7,8,8,8
8,10,7,9,8
15,8,7,12,10
11,14,12,7,9
13,11,9,15,11
6,8,11,13,11
10,15,12,10,8
6,14,10,14,6
8,9,10,10,7
12,10,11,12,8
10,10,13,11,6
12,14,8,12,11
15,11,10,8,9
12,14,6,8,13
12,11,13,6,12
15,6,12,7,12
8,7,11,11,8
7,14,14,6,15
8,8,9,13,12
6,15,9,12,6
9,11,15,7,7
13,15,7,6,14
15,7,9,11,11
12,8,7,15,12
11,11,14,11,8
10,6,13,13,14
12,11,11,8,9
14,8,15,7,12
6,7,14,9,11
9,6,14,11,8
14,14,14,7,6
6,10,9,10,8
7,13,7,7,8
13,12,10,7,15
12,8,12,12,6
10,7,15,14,10
7,11,13,7,8
14,10,7,7,11
6,8,13,14,12
15,11,8,6,11
11,6,9,7,7
12,13,6,10,12
14,12,6,6,9
6,10,15,8,13
8,15,11,7,12
13,15,7,9,12
9,12,8,9,10
15,15,11,15,12
12,13,14,13,8
13,8,7,14,15
8,6,15,10,15
13,10,13,7,6
10,6,8,8,8
12,8,7,9,13
8,11,7,6,11
12,13,13,6,10
15,12,14,15,15
10,10,15,11,6
11,9,15,9,10
11,10,14,15,9
8,15,7,14,7
10,14,10,6,12
13,6,7,6,12
11,7,14,12,6
15,12,14,13,6
7,6,8,15,6
14,7,11,13,15
8,6,10,13,9
14,15,11,8,8
11,15,14,15,14
9,7,11,14,12
15,13,7,11,12
11,14,12,7,12
14,13,13,9,11
12,9,7,7,12
15,6,10,10,9
12,13,11,9,8
10,6,6,9,6
6,8,14,8,11
11,14,12,8,13
7,14,6,10,15
12,11,13,12,6
13,14,14,15,7
7,9,8,8,11
7,13,8,7,7
8,14,7,8,10
12,6,13,8,15
